timestamp_local,food_name,label,temperature,humidity,mq2_ppm,mq3_ppm,mq4_ppm,mq135_ppm,mq136_ppm,mq137_ppm,co2
2026-06-27 21:41:05,Rice,Fresh,30.3,79.6,1111.4,71.6,71.8,150.1,57.0,101.2,891.0
2026-06-27 21:46:22,Rice,Fresh,30.3,79.7,2338.5,75.6,170.7,163.7,64.6,120.0,846.0
2026-06-27 21:51:22,Rice,Fresh,30.3,82.7,2401.1,76.6,228.2,169.0,66.2,124.4,799.0
2026-06-27 21:56:23,Rice,Fresh,30.3,84.9,2415.8,77.2,226.4,170.5,65.3,122.7,800.0
2026-06-27 22:01:23,Rice,Fresh,30.3,86.5,2409.2,77.5,216.8,169.1,64.4,121.5,792.0
2026-06-27 22:06:22,Rice,Fresh,30.2,87.7,2406.6,76.3,221.6,166.8,64.0,120.8,829.0
2026-06-27 22:11:29,Rice,Fresh,30.1,88.4,2222.7,74.7,209.2,166.7,63.8,120.1,786.0
2026-06-27 22:16:23,Rice,Fresh,30.1,89.3,2397.1,74.1,194.1,165.6,63.7,120.1,812.0
2026-06-27 22:21:30,Rice,Fresh,30.0,89.8,2394.5,72.5,185.7,166.4,63.1,119.3,774.0
2026-06-27 22:26:22,Rice,Fresh,30.0,90.3,2401.8,72.7,83.5,139.7,68.8,118.6,801.0
2026-06-27 22:31:22,Rice,Fresh,30.0,90.8,2414.7,73.3,195.2,164.8,63.8,119.6,786.0
2026-06-27 22:36:22,Rice,Fresh,29.9,91.2,2412.5,72.7,183.9,164.8,63.8,119.7,816.0
2026-06-27 22:41:22,Rice,Fresh,29.9,91.5,2405.9,72.5,186.1,164.1,64.0,118.7,805.0
2026-06-27 22:46:22,Rice,Fresh,29.9,91.6,2400.7,72.1,189.4,163.3,63.1,117.3,801.0
2026-06-27 22:51:22,Rice,Fresh,29.8,92.1,2401.1,72.0,176.9,163.2,63.4,117.4,810.0
2026-06-27 22:56:22,Rice,Fresh,29.7,92.4,2412.1,71.9,165.9,163.2,63.7,117.9,804.0
2026-06-27 23:01:24,Rice,Fresh,29.7,92.5,2407.7,71.3,160.1,163.3,63.6,117.5,808.0
2026-06-27 23:06:22,Rice,Fresh,29.7,92.8,2127.1,60.5,176.6,163.2,62.7,116.1,801.0
2026-06-27 23:11:23,Rice,Fresh,29.7,93.0,2394.5,68.9,163.7,162.7,62.5,115.5,802.0
2026-06-27 23:16:22,Rice,Fresh,29.7,93.2,2401.8,69.3,162.3,161.9,63.4,115.6,807.0
2026-06-27 23:21:22,Rice,Fresh,29.6,93.3,2410.6,68.6,193.0,151.6,58.1,107.7,807.0
2026-06-27 23:26:22,Rice,Fresh,29.6,93.5,2409.9,68.5,168.5,161.2,63.6,116.0,807.0
2026-06-27 23:31:22,Rice,Fresh,29.5,93.6,2397.1,67.8,175.1,162.3,63.3,115.7,807.0
2026-06-27 23:36:22,Rice,Fresh,29.5,93.7,2402.2,68.4,164.5,162.3,63.7,115.5,811.0
2026-06-27 23:41:22,Rice,Fresh,29.5,93.9,2408.8,68.3,158.2,161.2,64.1,116.0,811.0
2026-06-27 23:46:22,Rice,Fresh,29.5,94.0,2400.7,68.4,160.8,161.1,64.1,115.8,812.0
2026-06-27 23:51:22,Rice,Fresh,29.5,94.0,2405.1,68.6,170.3,161.8,64.2,115.7,803.0
2026-06-27 23:56:22,Rice,Fresh,29.5,94.1,2394.5,67.4,176.2,161.9,63.2,114.9,813.0
2026-06-28 0:01:22,Rice,Fresh,29.5,94.1,2234.1,52.9,38.5,159.4,62.9,114.4,810.0
2026-06-28 0:06:22,Rice,Fresh,29.5,94.2,2394.5,66.6,139.9,159.2,62.3,113.8,809.0
2026-06-28 0:11:22,Rice,Fresh,29.5,94.4,2385.3,66.1,164.1,159.2,62.1,112.6,797.0
2026-06-28 0:16:22,Rice,Fresh,29.5,94.5,2377.7,65.3,154.6,157.0,59.4,103.9,799.0
2026-06-28 0:21:22,Rice,Fresh,29.5,94.6,2367.0,64.6,145.8,156.7,62.0,113.2,806.0
2026-06-28 0:26:22,Rice,Fresh,29.5,94.8,2370.7,65.0,141.0,156.8,62.0,113.1,805.0
2026-06-28 0:31:23,Rice,Fresh,29.4,94.9,2374.7,64.8,136.3,155.8,62.0,113.7,810.0
2026-06-28 0:36:22,Rice,Fresh,29.4,95.0,2369.2,64.1,149.8,155.0,61.9,112.5,810.0
2026-06-28 0:41:22,Rice,Fresh,29.4,95.1,2365.2,64.2,134.8,154.9,61.9,112.1,817.0
2026-06-28 0:46:22,Rice,Fresh,29.4,95.1,2370.0,63.5,132.6,155.2,62.0,112.1,812.0
2026-06-28 0:51:22,Rice,Fresh,29.4,95.1,2361.2,62.9,124.9,155.5,61.8,112.1,819.0
2026-06-28 0:56:22,Rice,Fresh,29.4,95.3,2345.4,58.8,0.0,122.2,61.7,111.6,825.0
2026-06-28 1:01:22,Rice,Fresh,29.4,95.4,2356.8,63.2,114.7,153.7,61.8,111.6,811.0
2026-06-28 1:06:24,Rice,Fresh,29.4,95.5,2344.3,62.5,93.0,154.3,61.4,111.0,824.0
2026-06-28 1:11:22,Rice,Fresh,29.4,95.5,2344.3,62.1,95.6,153.6,61.3,110.1,817.0
2026-06-28 1:16:22,Rice,Fresh,29.3,95.5,2352.4,62.3,102.2,151.8,61.5,111.0,812.0
2026-06-28 1:21:24,Rice,Fresh,29.3,95.7,2335.9,61.8,94.9,151.8,61.3,110.6,809.0
2026-06-28 1:26:24,Rice,Fresh,29.3,95.7,2323.4,61.3,96.0,152.5,61.4,110.7,792.0
2026-06-28 1:31:24,Rice,Fresh,29.3,95.7,2333.0,61.7,93.4,150.6,61.3,110.8,822.0
2026-06-28 1:36:23,Rice,Fresh,29.3,95.8,1988.3,58.6,72.9,150.5,61.7,110.9,816.0
2026-06-28 1:41:24,Rice,Fresh,29.3,95.8,2322.7,60.9,81.3,150.5,61.7,110.8,816.0
2026-06-28 1:46:23,Rice,Fresh,29.2,95.9,2316.1,59.2,87.5,149.6,61.2,110.6,794.0
2026-06-28 1:51:24,Rice,Fresh,29.2,95.9,2298.9,58.8,71.8,113.3,59.9,104.5,818.0
2026-06-28 1:56:22,Rice,Fresh,29.2,96.1,2296.0,58.1,57.1,147.9,61.0,109.9,803.0
2026-06-28 2:01:24,Rice,Fresh,29.2,96.0,2303.7,58.2,56.0,147.8,61.1,110.2,807.0
2026-06-28 2:06:23,Rice,Fresh,29.2,96.1,1231.5,7.1,0.0,43.9,60.3,78.3,813.0
2026-06-28 2:11:22,Rice,Fresh,29.2,96.1,2237.7,55.7,9.9,142.4,59.9,108.6,830.0
2026-06-28 2:16:24,Rice,Fresh,29.2,96.2,2498.2,67.8,260.1,167.9,64.8,116.9,829.0
2026-06-28 2:21:24,Rice,Fresh,29.2,96.3,2510.6,67.9,243.6,167.6,64.8,116.8,817.0
2026-06-28 2:26:23,Rice,Fresh,29.2,96.2,2507.3,67.5,251.6,167.9,64.6,116.6,830.0
2026-06-28 2:31:22,Rice,Fresh,29.2,96.3,2361.2,60.3,195.2,168.5,64.5,116.5,789.0
2026-06-28 2:36:22,Rice,Fresh,29.2,96.2,2498.9,67.7,243.6,168.9,64.7,116.7,824.0
2026-06-28 2:41:24,Rice,Fresh,29.1,96.3,2504.0,68.1,244.3,166.8,64.8,116.9,817.0
